Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Euro area,EMU,3.9018569096895,2.18534205542917,0.946997513732455,0.753370498712513,2.3121902594432,1.77191866427586,3.32160160489221,3.01150536093732,0.416501549942552,-4.48285237979071,2.12134077793506,1.77822274435988,-0.917843012022885,-0.169752032013932,1.45200101949203,2.1410319595869,1.82246855893158,2.59749494753623,1.76848584325973,1.62839465246263,-6.04867335432054,6.361155564717,3.54604346905943,0.40141849759172
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United States,USA,4.07758575804293,0.955538346430316,1.70044732363073,2.795605965883,3.84777169205226,3.483549937943,2.78453963938148,2.00385829825838,0.113587248258867,-2.57650023426996,2.6951925838264,1.56440685438301,2.28911338767897,2.11783009919849,2.52381981441982,2.94555045455233,1.81945147474293,2.45762230322211,2.96650506916633,2.58382533018855,-2.16302913866514,6.05505293304576,2.51237531983308,2.88755600906016
GDP (current US$),NY.GDP.MKTP.CD,Euro area,EMU,6528628818219.35,6631899418122.65,7241862821254.28,8921228122867.81,10231007047364.3,10611825457676.7,11288306909760.6,13000319190760,14296312713424,13084338473244.4,12786064520090.9,13810192245254.4,12786713590087.7,13358729082792.6,13683290663997.8,11828599572765.3,12124585812206.7,12839881576234.5,13867949267318.1,13587020300289.4,13266857904728,14917737268178.2,14452048668851,15780686672317.3
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,10250952000000,10581929000000,10929108000000,11456450000000,12217196000000,13039197000000,13815583000000,14474228000000,14769862000000,14478067000000,15048971000000,15599732000000,16253970000000,16880683000000,17608138000000,18295019000000,18804913000000,19612102000000,20656516000000,21539982000000,21354105000000,23681171000000,26006893000000,27720709000000
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Euro area,EMU,9.47225951527442,8.41876264836355,8.67984727101411,9.02108718291679,9.29041121484406,9.15051173765524,8.43037649332642,7.53820766238468,7.54483677166009,9.63499538500646,10.1760027026864,10.2622073437419,11.4161779230859,11.9989388678626,11.6285034142515,10.8852194826772,10.0364704378031,9.07375849850471,8.16093522950144,7.52037068029902,7.830216719014,7.7215829402274,6.74811449074283,6.56231846699686
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,United States,USA,3.992,4.731,5.783,5.989,5.529,5.084,4.623,4.622,5.784,9.254,9.633,8.949,8.069,7.375,6.168,5.28,4.869,4.355,3.896,3.669,8.055,5.349,3.65,3.638
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Euro area,EMU,2.94756559977476,2.85732893518829,2.32690683615857,2.09523529072289,2.21620788926273,2.52392898747161,2.72004750529271,2.48231546689542,4.11407022033816,0.437175412792701,1.5205755786839,3.28801427219796,2.54154474108009,1.31023355618666,0.220195628198753,-0.0852072296963749,0.166009884375616,1.37503641525339,1.6892396580413,1.44123966942341,0.186938139702131,2.4865043812082,8.47117645590892,5.78431554960862
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,United States,USA,3.37685727149929,2.82617111885407,1.58603162650601,2.27009497336115,2.67723669309172,3.3927468454955,3.22594410070404,2.85267248150138,3.839100296651,-0.355546266299747,1.6400434423899,3.156841568622,2.06933726526067,1.46483265562717,1.62222297740817,0.118627135552451,1.26158320570536,2.13011000365961,2.44258329692817,1.81221007526021,1.23358439630629,4.69785886363742,8.00279982052121,4.11633838374488
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Euro area,EMU,100.731834061391,77.7235404642514,51.1987407869403,47.8938716862057,51.5272985894199,52.5109823436859,72.3778283967154,101.486766502964,80.1930970448134,47.9467158659743,45.7942067384393,41.7092168218668,36.7137656854133,36.9634174141477,46.5651271352004,47.0026632655634,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,United States,USA,290.529559596026,197.351348700223,156.031592880224,140.052838357432,156.362587618305,197.805061922141,221.357122605684,296.061215147364,319.877706372612,236.954150954371,239.387650809705,263.117002330553,199.025008228759,196.954432827155,221.355867270009,226.282913234471,223.725204152766,202.863932586114,237.519509195065,168.720262068928,192.405448179636,193.715697293854,170.400559497822,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Euro area,EMU,6564772320000,5145017530000,3700430220000,4272721550000,5271761550000,5435120060000,7964229010000,12840470060000,11150292530000,6112265460000,5704586210000,5606552660000,4565800000000,4800643880000,6195104930000,3823082840000,..,..,..,..,..,..,..,..
